name,cell,school,class,time,distance,components,duration,description,upgrade,time_filter,distance_filter,components_filter,duration_filter
Малая иллюзия,0,Иллюзия,"Бард, волшебник, колдун, чародей",Действие,30 футов,"Соматический, Материальный (кусочек шерсти)",1 минута,"Вы создаёте звук или изображение предмета в пределах дистанции, которое сохраняется на время длительности заклинания. См. описания ниже для эффектов каждого из них. Иллюзия заканчивается, если вы снова накладываете это заклинание. 
Если существо совершает действие поиск, чтобы изучить звук или изображение, то оно может определить, что это иллюзия, если успешно проходит проверку Интеллекта (Анализ) против Сл спасброска вашего заклинания. Если существо распознаёт иллюзию, то она становится блеклой для него. 
*Звук.* Если вы создаёте звук, то его громкость может варьироваться от шёпота до крика. Это может быть ваш голос, голос другого человека, рёв льва, биение барабанов или любой другой звук, который вы выберете. Звук продолжается без перерыва на протяжении действия заклинания или вы можете создавать отдельные звуки в разное время до окончания действия заклинания. 
*Изображение.* Если вы создаёте изображение предмета (такого как стул, грязные следы или маленький сундук), то оно не может быть больше, чем 5 футовый куб. Изображение не может создавать звуки, свет, запахи или любые другие сенсорные эффекты. Физическое взаимодействие с изображением раскрывает его как иллюзию, так как предметы могут проходить сквозь него.",NaN,Действие,30 фт,"Соматический, Материальный не расходуемый",Минута
Расщепление разума,0,Очарование,"Волшебник, колдун, чародей",Действие,60 футов,Вербальный,1 раунд,"Вы пытаетесь временно пошатнуть разум одного существа, которое видите в пределах дистанции. Цель должна преуспеть в спасброске Интеллекта или получить 1к6 урона психической энергией и вычесть 1к4 из следующего спасброска, который оно совершит до конца вашего следующего хода.","Урон увеличивается на 1к6, когда вы достигаете 5 уровня (2к6), 11 уровня (3к6) и 17 уровня (4к6).",Действие,60-119 фт,Вербальный,Раунд
Починка,0,Преобразование,"Бард, жрец, друид, чародей, волшебник",1 минута,касание,"Вербальный, Соматический, Материальный (два магнитных камня)",Мгновенная,"или сломанный участок предмета, которого вы касаетесь, например, сломанную цепочку, две половинки сломанного ключа, порванный плащ или протекающий бурдюк. Если разрыв или слом не превышает 1 фута в любом измерении, то вы чините его, не оставляя следов от предыдущего повреждения. Это заклинание может физически починить магический предмет, но не может вернуть ему утраченные магические свойства.",NaN,1 минута,Касание,"Вербальный, Соматический, Материальный не расходуемый",Мгновенно
Волшебная рука,0,Вызов,"Бард, волшебник, колдун, чародей",Действие,30 футов,"Вербальный, Соматический",1 минута,"оторую вы выбираете в пределах дистанции. Рука существует на протяжении всей длительности заклинания. Рука исчезает, если окажется дальше 30 футов от вас или если вы снова наложите это заклинание. Когда вы накладываете это заклинание, вы можете использовать руку для манипуляции объектом, открытия незапертой двери или контейнера, убирания или извлекания предмета из открытого контейнера или выливания содержимого из склянки. В дальнейшем, используя действие магия, вы можете снова управлять рукой. В рамках этого действия вы можете переместить руку на расстояние до 30 футов. Рука не может атаковать, активировать магические предметы или переносить более 10 фунтов.",NaN,Действие,30 фт,"Вербальный, Соматический",Минута
Сообщение,0,Преобразование,"Бард, Друид, Волшебник, Чародей",Действие,120 футов,"Соматический, Материальный (медная проволока",1 раунд,"Вы указываете на существо в пределах дистанции и шепчете послание. Цель (и только цель) слышит сообщение и может ответить вам шёпотом, который слышите только вы. Вы можете наложить это заклинание через твёрдые объекты, если вы знакомы с целью и знаете, что она находится за преградой. Магическая тишина, 1 фут камня, металла или дерева, или тонкий лист свинца блокируют заклинание.",NaN,Действие,120 фт и больше,"Соматический, Материальный не расходуемый",Раунд
Свет,0,Воплощение,"Бард, жрец, чародей, волшебник",Действие,касание,"Вербальный, Материальный (светлячок или фосфоресцирующий мох)",1 час,"Вы касаетесь одного объекта размера большой или меньше, который не носит и не несёт кто-то другой. До окончания заклинания объект излучает яркий свет в радиусе 20 футов и тусклый свет ещё на 20 футов. Свет может быть любого цвета по вашему выбору. Закрытие объекта чем-то непрозрачным блокирует свет. Заклинание прекращается, если вы наложите его снова.",NaN,Действие,Касание,"Вербальный, Материальный не расходуемый",Больше минуты
Раскат грома,0,Воплощение,"Бард, друид, колдун, чародей, волшебник",Действие,На себя,Соматический,Мгновенная,Каждое существо в 5 футовой эманации от вас должно преуспеть в спасброске Телосложения или получить 1к6 урона громом. Громкий звук от заклинания слышен на расстоянии до 100 футов.,"Урон увеличивается на 1к6, когда вы достигаете 5 уровня (2к6), 11 уровня (3к6) и 17 уровня (4к6).",Действие,На себя,Соматический,Мгновенно
Погребальный звон,0,Некромантия,"Жрец, колдун, волшебник",Действие,60 футов,"Вербальный, Соматический",Мгновенная,"Вы указываете на одно существо, которое видите в пределах дистанции, и слышится один печальный звон колокола в радиусе 10 футов от цели. Цель должна преуспеть в спасброске Мудрости или получить 1к8 урона некротической энергией. Если хиты цели были не полные, то она вместо этого получает 1к12 некротического урона.","Урон увеличивается на одну кость, когда вы достигаете 5 уровня (2к8 или 2к12), 11 уровня (3к8 или 3к12) и 17 уровня (4к8 или 4к12).",Действие,60-119 фт,"Вербальный, Соматический",Мгновенно
Меткий удар,0,Прорицание,"Бард, волшебник, колдун, чародей",Действие,На себя,"Соматический, Материальный (оружие, которым у вас есть владение, и которое стоит 1+ зм)","Концентрация, до 1 минуты","аза радиусом 20 футов с центром в точке в пределах дистанции. Облако является сильно заслонённой местностью. Оно остаётся в воздухе на всё время действия или до тех пор, пока сильный ветер (например, созданный заклинанием Порыв ветра) не разгонит его. Каждое существо, которое начинает свой ход в этой сфере, должно преуспеть в спасброске Телосложения или получить состояние отравленный до конца текущего хода. Пока существо отравлено таким образом, оно не может совершать действие или бонусные действие.",NaN,Действие,На себя,"Соматический, Материальный расходуемый",Концентрация минуту и менее
Искусство друидов,0,Преобразование,Друид,"Действие
", 30 футов,"Вербальный, Соматический",Мгновенная,"Пошептавшись с духами природы, вы создаёте
один из следующих эффектов в пределах дистанции.
Прогноз погоды. Вы создаёте крошечный,
безвредный сенсорный эффект, который предсказывает погоду в вашем местоположении на
следующие 24 часа. Эффект может проявляться в
виде золотистого шарика для ясного неба, облака
для дождя, падающих снежинок для снега и так
далее. Этот эффект сохраняется 1 раунд.
Цветение. Вы мгновенно заставляете цветок
распуститься, семечко прорасти или почку распуститься.
Сенсорный эффект. Вы создаёте безвредный
сенсорный эффект, такой как падающие листья,
призрачные танцующие феи, лёгкий ветерок,
звук животного или слабый запах скунса. Эффект должен помещаться в куб с длиной стороны
5 футов.
Игры с огнём. Вы зажигаете или тушите свечу, факел или костёр.",,Действие,30 фт,"Вербальный, Соматический",Мгновенно
Мистический заряд,0,Воплощение,Колдун,Действие,120 футов,"Вербальный, Соматический",Мгновенная,"Вы выпускаете луч потрескивающей энергии.
Совершите дальнобойную атаку заклинаним
против одного существа или объекта в пределах
дистанции. При попадании цель получает 1к10
урона силовым полем.","Заклинание создаёт два
луча на 5 уровне, три луча на 11 уровне и четыре
луча на 17 уровне. Вы можете направить лучи
на одну и ту же цель или на разные. Совершите
отдельный бросок атаки для каждого луча.",Действие,120 фт и больше,"Вербальный, Соматический",Мгновенно
Указание,0,Прорицание,"Друид, жрец",Действие,Касание,"Вербальный, Соматический","Концентрация, до 1 минуты","Вы касаетесь согласного существа и выбираете навык. До окончания заклинания существо
добавляет 1к4 к любой проверке характеристики
с использованием выбранного навыка.",,Действие,Касание,"Вербальный, Соматический",Концентрация минуту и менее
Чародейская вспышка,0,Воплощение,Чародей,Действие,120 футов,"Вербальный, Соматический",Мгновенная,"Вы выпускаете чародейскую энергию в одно 
существо или объект в пределах дистанции. Со
вершите дальнобойную атаку против цели. При 
попадании цель получает 1к8 урона выбранного 
вами типа: кислотный, холодный, огнём, электри
ческий, ядом, психической энергией или звуко
вой.
 Если вы выбросите 8 на к8 для этого заклина
ния, то вы можете бросить ещё один к8 и до
бавить его к урону. Когда вы накладываете это 
заклинание, то максимальное количество этих к8, 
которые вы можете добавить к урону заклинания, 
равно вашему модификатору заклинательной 
характеристики.","Урон увеличивается на 
1к8, когда вы достигаете 5 уровня (2к8), 11 уров
ня (3к8) и 17 уровня (4к8).",Действие,120 фт и больше,"Вербальный, Соматический",Мгновенно
Дубинка,0,Преобразование,Друид,Бонусное действие,На себя,"Вербальный, Соматический, 
Материальный (омела)",1 минута,"Дубинка или боевой посох, который вы держи
те, наполняется природной силой. На время дей
ствия заклинания вы можете использовать свою 
заклинательную характеристику вместо Силы для 
атаки и бросков урона рукопашными атаками 
с использованием этого оружия, а также кость 
урона оружия становится к8. Если атака наносит 
урон, то он может быть урон силовым полем или 
обычным типом урона оружия (по вашему выбо
ру). Заклинание заканчивается досрочно, если вы 
наложите его снова или отпустите оружие.","Кость урона изменяется 
на уровнях 5 (к10), 11 (к12) и 17 (2к6).",Бонусное действие,На себя,"Вербальный, Соматический, Материальный не расходуемый",Минута
Уход за умирающим,0,Некромантия,"Жрец, друид",Действие,15 футов,"Вербальный, Соматический",Мгновенная," Выберите существо в пределах досягаемости, у 
которого 0 хитов и которое не мертво. Существо 
стабилизируется.","Дистанция увеличивает
ся вдвое, когда вы достигаете 5 (30 футов), 11 (60 
футов) и 17 (120 футов) уровней.",Действие,до 30 фт,"Вербальный, Соматический",Мгновенно
Сопротивление,0,Ограждение,"Жрец, друид",Действие,Касание,"Вербальный, Соматический","Концентрация, до 1 минуты","Вы касаетесь согласного существа и выбира
ете тип урона: кислотный, дробящий, холодный, 
огненный, электрический, некротический, колю
щий, ядовитый, излучение, рубящий или звуко
вой. Когда существо получает урон выбранного 
типа до окончания действия заклинания, то оно 
уменьшает полученный урон на 1к4. Существо 
может получить эффект от этого заклинания 
только один раз за ход.",,Действие,Касание,"Вербальный, Соматический",Концентрация минуту и менее
Сотворение пламени,0,Вызов,Друид,Бонусное действие,на себя,"Вербальный, Соматический",10 минут,"Ваша рука окутывается мерцающим пламе
нем, которое остается на руке на время действия 
заклинания. Это пламя не выделяет тепло и ниче
го не поджигает, излучая яркий свет в радиусе 20 
футов и тусклый свет ещё на 20 футов. Заклина
ние заканчивается, если вы наложите его снова.
 До окончания действия заклинания вы можете 
совершить действие магия, чтобы метнуть огонь 
в существо или предмет на расстоянии до 60 
футов от вас. Совершите дальнобойную атаку 
заклинанием. При попадании цель получает 1к8 
урона огнём.","Урон увеличивается на 
1к8, когда вы достигаете 5 уровня (2к8), 11 уров
ня (3к8) и 17 уровня (4к8).",Бонусное действие,На себя,"Вербальный, Соматический",Больше минуты
Священное пламя,0,Воплощение,Жрец,Действие,60 футов,"Вербальный, Соматический",Мгновенно,"Луч света, подобный пламени, нисходит на 
существо, которое вы можете видеть в пределах 
дистанции. Цель должна преуспеть в спасброске 
Ловкости или получить 1к8 урона излучением. 
Цель не получает преимущества от укрытия на 
половину или на три четверти для этого спасбро
ска."," Урон увеличивается на 
1к8, когда вы достигаете 5 уровня (2к8), 11 уров
ня (3к8) и 17 уровня (4к8).",Действие,60-119 фт,"Вербальный, Соматический",Мгновенно
Слово Сияния,0,Воплощение,Жрец,Действие,На себя,"Вербальный, Материальный
(талисман в виде солнца)",Мгновенная,"Испепеляющее излучение вырывается от вас в
5-футовой эманации. Каждое существо на ваш
выбор, которое вы видите в этой области, должно преуспеть в спасброске Телосложения, иначе
получит 1к6 урона излучением.","Урон увеличивается на
1к6, когда вы достигаете 5 уровня (2к6), 11 уровня (3к6) и 17 уровня (4к6)",Действие,На себя,"Вербальный, Материальный не расходуемый",Мгновенно
Терновый кнут,0,Преобразование,Друид,Действие,30 футов,"Вербальный, Соматический,
Материальный (стебель колючего растения)
",Мгновенная,"Вы создаёте подобный лозе кнут, покрытый
шипами, который бьёт по вашему приказу по
существу в пределах досягаемости. Совершите
рукопашную атаку заклинанием по цели. При
попадании цель получает 1к6 колющего урона,
и если она размером большая или меньше, то вы
можете притянуть её к себе на расстояние до 10
футов.","Урон увеличивается на
1к6, когда вы достигаете 5 уровня (2к6), 11 уровня (3к6) и 17 уровня (4к6).",Действие,30 фт,"Вербальный, Соматический, Материальный не расходуемый",Мгновенно
Чудотворство,0,Преобразование,Жрец,Действие,30 футов ,Вербальный,До 1 минуты ,"Вы проявляете небольшое чудо в пределах дистанции. Вы создаёте один из нижеперечисленных
эффектов. Если вы накладываете это заклинание
несколько раз, то вы можете поддерживать до 3
его минутных эффектов одновременно.
Изменение глаз. Вы изменяете внешний вид
своих глаз на 1 минуту.
Громкий голос. Ваш голос звучит в три раза
громче обычного в течение 1 минуты. На время
действия заклинания вы получаете преимущество на проверки Харизмы (Запугивание).
Огонь. Вы заставляете пламя мерцать, становиться ярче, тускнеть или менять цвет в течение
1 минуты.
Невидимая рука. Вы мгновенно открываете
или закрываете незапертую дверь или окно.
Фантомный звук. Вы создаёте мгновенный
звук в выбранной точке в пределах дистанции,
например, громовой раскат, крик ворона или
зловещий шёпот.
Дрожь. Вы создаёте безвредные земные колебания на 1 минуту.",,Действие,30 фт,Вербальный,Минута
Злая насмешка,0,Очарование,Бард,Действие,60 футов,Вербальный,Мгновенно,"Вы извергаете поток оскорблений, пропитанных тонкой магией очарования, в сторону одного
существа, которого видите или слышите в пределах дистанции. Цель должна совершить спасбросок Мудрости, иначе она получит 1к6 урона
психической энергией и помеху на следующий
бросок атаки, который совершит до конца своего
следующего хода.","Урон увеличивается на
1к6, когда вы достигаете 5 уровня (2к6), 11 уровня (3к6) и 17 уровня (4к6).",Действие,60-119 фт,Вербальный,Мгновенно
Звёздный огонёк,0,Воплощение,"Бард, друид",Действие, 60 футов,"Вербальный, Соматический",Мгновенно,"Вы запускаете частицу света в одно существо
или предмет в пределах дистанции. Совершите
дальнобойную атаку заклинанием по цели. При
попадании цель получает 1к8 урона излучением и до конца вашего следующего хода излучает
тусклый свет в радиусе 10 футов и не получает
эффекты состояния невидимый.","Урон увеличивается на
1к8, когда вы достигаете 5 уровня (2к8), 11 уровня (3к8) и 17 уровня (4к8)",Действие,60-119 фт,"Вербальный, Соматический",Мгновенно
Благословление,1,Очарование,"Жрец, паладин",Действие,30 футов,"Вербальный, Соматический, Материальный (Священный символ стомостью 5+ 
зм)","Концентрация, до 1 минуты","Концентрация, до 1 минуты
Вы благословляете до трёх существ в пределах 
дистанции. Каждый раз, когда цель совершает 
бросок атаки или спасбросок до окончания дли-
тельности заклинания, она может добавить 1к4 к 
броску атаки или спасброску.","Вы 
можете сделать целью одно дополнительное суще-
ство за каждый уровень ячейки выше первого.",Действие,30 фт,"Вербальный, Соматический, Материальный расходуемый",Концентрация минуту и менее
Вызов на дуэль,1,Очарование,Паладин,Бонусное действие,30 футов,Вербальный,"Концентрация, до 1 минуты","Вы пытаетесь принудить существо к дуэли. Одно существо, которое вы видите в пределах дистанции, должно совершить спасбросок Мудрости. В случае провала цель получает помеху на броски атаки против других существ, кроме вас, и не может добровольно переместиться на расстояние более 30 футов от вас. Заклинание заканчивается, если вы совершаете бросок атаки против существа, отличного от цели, если вы накладываете заклинание на врага, отличного от цели, если ваш союзник наносит урон цели или если вы заканчиваете свой ход на расстоянии более 30 футов от цели.",NaN,Бонусное действие,30 фт,Вербальный,Концентрация минуту и менее
Доспех Агатиса,1,Ограждение,колдун,Бонусное действие,На себя,"Вербальный, Соматический, Материальный (осколок синего стекла)",1 час,"Вас окружает магический защитный иней. Вы получаете 5 временных хитов. Если существо атакует вас рукопашной атакой до того, как заклинание завершится, то оно получает 5 урона холодом. Заклинание заканчивается раньше, если у вас не осталось временных хитов.",Временные хиты и урон холодом увеличиваются на 5 за каждую ячейку уровня заклинаний выше первого.,Бонусное действие,На себя,"Вербальный, Соматический, Материальный не расходуемый",Больше минуты
Дружба с животными,1,Очарование,"Бард, друид, следопыт",Действие,30 футов,"Вербальный, Соматический, Материальный (кусочек пищи)",24 часа,"Целью заклинания становится существо с типом зверь, которого вы видите в пределах дистанции. Цель должна преуспеть в спасброске Мудрости, иначе она будет находиться под действием состояния очарованный на продолжительность действия заклинания. Если вы или один из ваших союзников наносит урон цели, то заклинание заканчивается.",вы можете выбрать одну дополнительную цель (зверя) за каждый уровень ячейки заклинания выше 1-го.,Действие,30 фт,"Вербальный, Соматический, Материальный не расходуемый",Больше минуты
